SMILES,Name
CC(=O)C(C)CS(C)(C)F,31
N#CC1COCS1,72
CC(F)(F)C1CCCO1,138
CC1(C)COC(=O)O1,209
CC1COCC1C#N,262
CC1OCC(C#N)O1,273
CC1OCCC1F,281
CC1OCCCC1(F)F,282
CC1OCCCO1,283
CCC1CCCO1,384
CCC1COC(=O)O1,386
CCC1COC(C)O1,387
CCCC1CCCCO1,416
CCCCOC(C)CC,425
CCCCOCC#N,426
CCCOCOC(C)C(F)(F)F,476
CC(=O)COC(C)C#N,505
CCOCC(C)(F)F,507
CCOCC1CCCO1,516
CC(=O)COCC(C)F,519
CCOCCOCCF,523
CCOCOC(C)CC,532
CCOCOCC(C)=O,535
COC(C)C#N,593
COC(C)C(C)(F)F,594
COCC(C)F,606
COCCOC(C)C(C)C,612
COCCS(C)=O,614
CC(=O)OCC(C)(F)F,633
FC(F)(F)C1CCCO1,674
FC(F)(F)COCC(F)(F)F,675
FC(F)CC1CCCO1,677
FC1CCCOC1,687
FC1COCO1,688
FC1COCOC1,690
FCC1COCO1,691
FCCC1CCCCO1,692
N#CC(CO)OC=O,698
N#CC1CCCOC1,704
N#CC1COC(=O)C1,711
N#CC1COC(=O)O1,713
N#CC1COC(=O)S1,714
N#CC1COC(C(F)(F)F)O1,715
N#CC1COC(CF)O1,718
N#CC1COCO1,719
N#CCOC1CCCC1,725
O=C1CCC(F)CO1,752
O=C1OCC(CO)O1,754
O=C1OCC(F)CO1,757
COC(=O)OC(C)C,hc1012
COCCC(C)N,hc1016
O=C1OCC(C(F)F)O1,hc1027
CCC(C)C(F)(F)F,hc1031
CCCOS(=O)OC,hc1036
CCCSC#N,hc1041
C=COCC,hc1042
CC1CCOC1,hc1073
COC(C)CC(F)F,hc1085
CC1OCCO1,hc1104
CCCOC#N,hc112
CC(F)OCC(F)(F)F,hc1157
CC(C)OC(C)C,hc1165
COCC(F)F,hc1196
O=C1NCCO1,hc1239
C=C(OC)OCF,hc1242
CCOC(C)C#N,hc1244
COC(C)CF,hc1245
CCOC(=O)SOC,hc1250
CC(F)(F)OCC(F)(F)F,hc1253
C=C1CCC(CF)O1,hc1259
COC(=O)CCC(F)F,hc1281
COCC(F)(F)F,hc13
CC1CCCCO1,hc1315
O=C1OCC(CF)S1,hc1327
FCC1COC=CO1,hc1328
CC1(F)COC(=O)O1,hc1331
COCC=O,hc1332
CCOC(=O)OC(=O)C(C)C,hc1337
N#COC=O,hc1346
CCS(=O)OCF,hc136
CC(C)OC=O,hc1381
CCC(C)S(=O)OC,hc139
CC(C)OC#N,hc1402
COCCC(=O)OC,hc1412
COC(=O)CC(C)C,hc1415
COS(=O)OC=CC(F)(F)F,hc142
CC1(F)COC(=S)O1,hc1429
C=C1OCC(F)O1,hc1433
C=C(OCF)OCF,hc1440
COS(=O)OC(F)(F)F,hc1454
FCCCC(F)(F)F,hc1455
CCOC(C)CF,hc1461
CC(CF)OC=O,hc1486
CCOC(=O)F,hc1489
CC1CC(=O)OC1C,hc1500
FC(F)(S)C1CCOC1,hc1503
CC1OC(=O)CC1CF,hc1508
CCC(OC)OC=O,hc1522
O=C(OCCF)OC(F)F,hc1530
CCOC(=O)OC=O,hc1531
CC1OCC(F)(F)O1,hc1593
CCOC(=O)OS(=O)OCC,hc1632
O=C1CC(C(F)F)CO1,hc1636
COC(=O)OC(C)(F)F,hc165
CCC(C)OC(C)=O,hc1651
CCOC(=O)CC(=O)OC,hc1664
O=C1CCC(C(F)F)O1,hc1674
O=C1COCCO1,hc1737
COC(C)COC=O,hc174
CC1COCCO1,hc1741
CCCC(=O)OCF,hc175
CC1COC(=O)C1,hc177
CC1OCC(F)O1,hc178
C=C1CC(F)CO1,hc180
CCC(CC)S(C)=O,hc187
CC(=O)CCC(F)F,hc188
C=C1OCC(F)(F)O1,hc200
CCC(=O)OCC(F)F,hc201
C=C1OC(F)C(F)O1,hc202
CCC(C)(C)OC(C)=O,hc204
C=C1OCC(CF)O1,hc205
CCOCCCF,hc207
O=C1CC(CF)CO1,hc21
CCCC(CC)S(C)=O,hc211
CCOC(=O)OC(F)F,hc221
FC(F)(F)CCC(F)(F)F,hc232
CC1OC(=O)OC1CF,hc233
C=C1OCC(C(F)(F)F)O1,hc236
CCOCC#N,hc25
CCS(C)=O,hc250
C=C(OCF)OC(F)F,hc286
CCOC(C)C(F)F,hc289
CC1CCC(=O)O1,hc294
CCOC(=O)CC,hc297
C=CCOC(=O)OC,hc301
CCC(=O)OCCF,hc302
COC(C)OC,hc303
COS(=O)OCCC(F)F,hc313
CCOC(C)OC,hc321
CCCC(=O)OC(=O)OCC,hc323
FC1CC=COC1,hc326
CC(=O)OCCCF,hc333
COS(=O)OC(F)F,hc335
CCOC(C)OCF,hc341
COS(=O)CCCF,hc349
C=C1CCC(C)O1,hc355
CCCCOCCC,hc356
O=C1CC(F)C(F)O1,hc359
CCCOCCC(F)F,hc360
COS(=O)OCC(C)(F)F,hc362
COC(=O)OC=CC(F)F,hc378
COCC#N,hc393
CCSC(=O)OC,hc418
CCOCC(C)OC,hc438
CCOS(=O)OCF,hc448
CCOS(=O)OCC(F)(F)F,hc451
C=C1OC(F)N(F)O1,hc46
FC(F)(F)C(F)(F)C(F)(F)F,hc466
CC1(C)CCC(=O)O1,hc468
O=C1CCC(F)(F)O1,hc471
FC(F)OCC(F)(F)F,hc473
CCCN(C)C,hc482
COCOC(=O)OC,hc491
O=S1OCC(F)O1,hc495
COS(=O)OCCCF,hc496
O=C1CCC(CF)O1,hc511
CCCCCCC(F)F,hc513
OC(F)(F)COC(F)F,hc525
OC1COCO1,hc526
CCOC(C)=O,hc528
CCOCC(=O)OC,hc538
C=C(OC)OC(F)F,hc539
COC(C)C(C)C(F)(F)F,hc544
FC(F)(F)COC(F)(F)F,hc566
COC(C)C(C)C(F)F,hc590
FC1(F)CCCCO1,hc60
CCCC(=O)OC(=O)CCC,hc632
O=COC(=O)CC(F)F,hc658
CC1CCOS1=O,hc659
CC(C)OCC(F)(F)F,hc663
COC(C)C(C)CF,hc664
C=C1CC(F)C(F)O1,hc693
COCOC=O,hc709
CC(F)(F)OC(C)(F)F,hc713
CCOC(=O)COC,hc719
CCCS(C)=O,hc720
COCCC#N,hc732
C=C1OCC(F)(CF)O1,hc763
OCOCF,hc797
CCCCOC(C)F,hc80
CC1COC(C)O1,hc803
C=C(OC)OCCF,hc83
FCC1COCCO1,hc836
COS(=O)OCC(F)F,hc838
COS(=O)CCF,hc857
COC(=O)OC(F)(F)F,hc867
COS(=O)OCCF,hc883
CC(=O)OC(C)CF,hc895
CS(=O)C1CCCCC1,hc898
FC1(F)CCOCC1,hc901
COC=CC(C)F,hc902
CCCC(=O)OC(C)C,hc907
CCOC(=O)OCO,hc934
CCOC(=O)C(F)(F)F,hc956
C=CCOCCC,hc962
CC(=O)OCC(C)F,hc967
O=S(OCF)OC(F)F,hc968
CCC(F)OC,hc971
CCCCOC=O,hc980
OCSCF,hc982
C=C1OCCC(F)O1,hc983
CCC(F)OC,hc985
COC(=O)C(F)F,jy19
CCOC(C)(F)F,jy20
CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,jy26
CCOC(=O)OCC,jy28
COCCS(C)(=O)=O,jy30
COC(=O)OCC(F)F,jy32
CS(C)(=O)=O,jy8
CCCC#N,jy9
