Index,-C(=O)O ,-C(=O)OC(=O)-,-C=O, -CF2, -CF3, -CN, -F, -NH2,-O-,-O-C(=C)-O-,-O-C=C-,-OC(=O)O-,-OC(=O)S-,-OS(=O)O-,-S(=O)(=O)-,-S(=O)-,-S(=O)O- ,-S-,C=C,N,NH,Solvent_str,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
i0002,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.37,1481.62,-257.1714664,-983.9263692,1.84E-11,0
i0003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1459.2,-243.7913055,-932.2189431,1.82E-11,0
i0004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1458.81,-256.1842545,-877.5600212,2.24E-11,0
i0005,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1447.83,-248.1138829,-903.4163203,1.89E-11,0
i0006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1458.45,-249.319646,-931.8541285,2.40E-11,0
i0007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1450.96,-245.6202729,-939.3323774,3.08E-11,0
i0008,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1458.31,-250.6352726,-968.6933927,2.90E-11,0
i0009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1451.26,-248.9482757,-941.3717061,3.16E-11,0
i0010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1437.35,-245.8900943,-932.1504573,2.63E-11,0
i0011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.41,1458.86,-253.3065606,-948.3364461,2.68E-11,0
i0012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1451.66,-248.1430593,-932.2054035,2.73E-11,0
i0013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1437.63,-246.8082216,-918.225129,2.68E-11,0
i0014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1431.03,-246.3799819,-934.467659,2.35E-11,0
i0015,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1435.87,-245.1854175,-909.3222036,2.49E-11,0
i0016,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1458.98,-248.1878502,-954.1439889,3.30E-11,1
i0017,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1448.96,-247.8033214,-942.3831637,1.92E-11,0
i0018,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1456.5,-246.9958845,-934.0210054,1.44E-11,0
i0019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1441.44,-241.8301197,-911.9646922,3.83E-11,1
i0020,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1449.8,-245.3956302,-920.3787486,3.87E-11,1
i0021,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1445.44,-245.9186007,-934.3549334,3.22E-11,1
i0022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1437.23,-245.5022589,-939.1762993,2.69E-11,0
i0023,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1449.33,-247.2416659,-933.7129844,2.33E-11,0
i0024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1443.96,-247.1504467,-960.1994852,3.05E-11,0
i0025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1451.76,-240.5399661,-964.2459706,3.41E-11,1
i0026,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1445.23,-245.3912103,-927.0017783,3.08E-11,0
i0027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1438.76,-246.2796193,-947.1185118,2.16E-11,0
i0028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.48,1453.29,-243.12493,-918.9022148,4.66E-11,1
i0029,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1465.9,-246.7659425,-959.3247501,2.92E-11,0
i0030,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1471.29,-245.3350031,-910.3396581,1.45E-11,0
i0031,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1486.33,-244.5498612,-911.1629534,1.69E-11,0
i0032,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1458.52,-242.9186469,-897.1115196,1.80E-11,0
i0033,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1453.6,-250.2109486,-925.301562,2.71E-11,0
i0034,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1466.95,-248.3992829,-916.7703268,2.63E-11,0
i0035,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1465.19,-247.1672437,-922.8582418,3.22E-11,1
i0036,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1461.18,-255.1836031,-925.5893682,2.37E-11,0
i0037,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1447.3,-244.6074421,-922.1687589,3.43E-11,1
i0038,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1468.08,-255.6860761,-968.3422093,1.51E-11,0
i0039,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1447.55,-250.732376,-935.1965162,2.54E-11,0
i0040,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1468.89,-260.5214018,-1007.906858,1.91E-11,0
i0041,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1481.72,-258.600194,-1005.202015,1.82E-11,0
i0042,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.52,1482.98,-255.3543131,-980.2140475,2.88E-11,0
i0043,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1485.71,-251.7829436,-939.9517668,1.78E-11,0
i0044,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1473.62,-245.5251909,-927.4495661,4.24E-11,1
i0045,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1463.21,-251.459105,-918.6428823,2.26E-11,0
i0046,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1446.69,-242.9483975,-904.7903249,2.45E-11,0
i0047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1463.7,-250.9513615,-975.1440468,2.85E-11,0
i0048,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.44,1475.14,-255.3236247,-980.2110233,1.12E-11,0
i0049,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52,1479.53,-257.4507846,-997.4615422,2.37E-11,0
i0050,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1449.46,-245.3120749,-920.7014601,5.56E-11,1
i0051,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1438.95,-239.9575681,-880.1100208,4.14E-11,1
i0052,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.44,1491.56,-252.0607171,-982.8710977,2.29E-11,0
i0053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1453.38,-243.2338003,-950.5457025,2.39E-11,0
i0054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.41,1461.19,-252.235936,-991.1262344,2.49E-11,0
i0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.33,1448.71,-254.603247,-941.0195242,3.15E-11,0
i0056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.67,1432.35,-242.2629881,-925.5346975,2.46E-11,0
i0057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1438.88,-241.4137221,-894.5614948,4.54E-11,1
i0058,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1454.02,-236.7516709,-898.7241683,4.13E-11,1
i0059,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1449.93,-248.4610692,-925.0018384,2.54E-11,0
i0060,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1439.9,-242.8218987,-940.6014519,5.87E-11,1
i0061,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1472.15,-235.4616675,-931.0695936,3.01E-11,0
i0062,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1430.54,-248.7714097,-903.7296616,2.14E-11,0
i0063,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1459.7,-243.4237054,-914.0836384,3.07E-11,0
i0064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.41,1470.63,-263.3258955,-989.22773,2.41E-11,0
i0065,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.56,1454,-246.3236969,-959.3697102,3.09E-11,0
i0066,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1439.25,-251.6969411,-963.9831547,1.60E-11,0
i0067,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1446.03,-243.2510323,-938.7177343,2.87E-11,0
i0068,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.59,1463.54,-258.6984889,-945.4802239,2.44E-11,0
i0069,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1481.55,-240.8199899,-967.0296041,3.01E-11,0
i0070,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.44,1453.23,-251.1561206,-931.6370565,2.07E-11,0
i0071,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1463.13,-245.4735631,-999.9024726,4.11E-11,1
i0072,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1469.74,-239.5649456,-897.4686602,4.34E-11,1
i0073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1437.86,-241.0084653,-911.5951675,2.96E-11,0
i0074,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,1483.55,-260.0394368,-967.8401937,2.01E-11,0
i0075,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.59,1465.74,-246.6461343,-910.6909102,1.47E-11,0
i0076,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,1480.57,-258.0631655,-914.8482427,1.15E-11,0
i0077,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1445.8,-247.2085825,-911.9776788,2.53E-11,0
i0078,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.41,1450.96,-253.9770801,-937.5802205,2.05E-11,0
i0079,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1466.12,-254.7314912,-928.9901622,2.87E-11,0
i0080,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.37,1471.82,-247.1337873,-988.2653505,2.23E-11,0
i0081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1439.05,-243.6403875,-880.9856221,2.22E-11,0
i0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.44,1452.31,-250.2960625,-1005.69116,1.60E-11,0
i0083,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1443.01,-247.1989071,-894.1539806,2.45E-11,0
i0084,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1448.61,-247.8227836,-948.5566692,3.93E-11,1
i0085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1444.25,-249.1266449,-903.9952154,2.36E-11,0
i0086,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.56,1490.02,-248.5659729,-958.2228027,2.25E-11,0
i0087,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1483.75,-252.4182444,-913.3092567,1.32E-11,0
i0088,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67,1466.57,-249.3799831,-929.0325371,2.28E-11,0
i0089,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,1467.16,-240.1623719,-924.7559522,2.74E-11,0
i0090,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.37,1499.96,-247.3758258,-932.8902608,3.19E-11,0
i0091,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1469.19,-235.1955356,-934.5268266,3.36E-11,1
i0092,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1442.48,-243.7931867,-930.5610423,2.47E-11,0
i0093,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1455.14,-249.0907476,-921.0865318,2.00E-11,0
i0094,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1458.72,-247.7907364,-934.9099554,2.02E-11,0
i0095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1449.44,-252.1159411,-916.9371983,2.64E-11,0
i0096,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1474.84,-248.8997871,-917.8890503,2.18E-11,0
i0097,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1456.29,-250.8370071,-925.2399028,3.99E-11,1
i0098,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1447.93,-246.4203914,-945.3673718,2.45E-11,0
i0099,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1481.04,-249.6497418,-946.12577,2.20E-11,0
i0101,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1476.76,-246.2462712,-911.9692113,3.22E-11,1
i0102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.37,1471.71,-255.6908695,-897.2928426,1.36E-11,0
i0103,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1474.69,-248.8706745,-964.936765,3.02E-11,0
i0104,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.56,1476.15,-244.0690288,-908.8135036,3.95E-11,1
i0105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1438.91,-252.1595242,-928.0152463,2.81E-11,0
i0106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1455.71,-256.0809966,-923.7882216,1.57E-11,0
i0107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1478.04,-248.5528845,-956.9184276,2.95E-11,0
i0108,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1464.08,-252.3274359,-918.529318,2.86E-11,0
i0109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1451.02,-249.5360851,-945.1966284,6.81E-11,1
i0110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1451.56,-250.6587194,-917.7053064,3.66E-11,1
i0113,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1462.29,-249.0094166,-919.2321531,2.32E-11,0
i0114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.67,1454.83,-252.2272562,-913.4191821,1.84E-11,0
i0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.56,1439.03,-244.4030919,-944.0453493,4.92E-11,1
i0116,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1458.62,-246.9972638,-956.4279507,2.52E-11,0
i0117,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,1475.23,-250.0318044,-919.7614882,3.19E-11,0
i0118,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1462.3,-250.0723946,-995.4444209,2.03E-11,0
i0119,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67,1477.37,-250.536777,-922.976563,1.47E-11,0
i0121,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67,1461.39,-249.7046819,-937.9250236,2.19E-11,0
i0122,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1442.5,-238.2946011,-923.2692285,4.54E-11,1
i0123,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1462.78,-254.3090578,-946.1676765,1.66E-11,0
i0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.56,1444.75,-249.5986221,-948.1827156,2.23E-11,0
i0125,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52,1472.87,-246.120566,-919.6816993,2.89E-11,0
i0126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1482.51,-239.943786,-987.3610347,2.81E-11,0
i0128,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.59,1479.7,-246.996291,-952.8634629,3.58E-11,1
i0129,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1446.2,-248.9780313,-929.3210264,3.05E-11,0
i0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.48,1446.97,-242.4449115,-977.3697514,4.05E-11,1
i0131,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,1479.57,-238.3885106,-907.7298176,4.28E-11,1
i0132,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1452.05,-246.3241405,-944.3722637,2.40E-11,0
i0133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,1454.36,-251.0447117,-928.824914,2.51E-11,0
i0134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1441.36,-249.6761727,-971.4455537,2.99E-11,0
i0135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.59,1452.64,-247.9889515,-986.8590891,2.06E-11,0
i0136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,1448.77,-249.8926286,-985.0210069,3.07E-11,0
i0137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1440.29,-242.8252897,-974.9711483,4.77E-11,1
i0138,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48,1474.95,-253.7593841,-987.3870615,1.76E-11,0
i0139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1437.45,-240.1107991,-944.6526458,3.31E-11,1
i0140,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37,1451.16,-251.5496713,-890.4081968,2.53E-11,0
i0141,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.59,1454.33,-246.4488854,-915.7009055,1.93E-11,0
i0142,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1454.21,-249.7619756,-948.7454013,3.42E-11,1
i0143,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.37,1493.59,-247.7952683,-957.3551263,2.70E-11,0
i0144,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1450.24,-247.2220725,-940.2837177,1.48E-11,0
i0145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.44,1464.61,-246.3920562,-992.548583,3.04E-11,0
i0146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.48,1443.36,-248.2102874,-918.4026089,2.64E-11,0
i0147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1433.72,-241.94046,-918.0837478,3.79E-11,1
i0148,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1483.95,-250.3848013,-930.8490958,3.19E-11,0
i0149,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.52,1452.6,-248.0817018,-935.0847318,2.03E-11,0
i0150,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48,1477.18,-252.7523607,-1023.962003,2.35E-11,0
i0151,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.52,1472.28,-249.0999915,-967.7313475,2.43E-11,0
i0152,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1444.92,-246.1862303,-904.733662,3.46E-11,1
i0153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.52,1459.72,-251.3016953,-970.0991166,3.51E-11,1
i0154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1440.07,-245.762723,-940.6613917,3.73E-11,1
i0155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.41,1475.28,-248.6889684,-938.6365874,2.45E-11,0
i0156,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44,1486.68,-251.6675112,-995.0781676,2.31E-11,0
i0157,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.44,1485.77,-251.0927593,-919.8480376,3.10E-11,0
i0160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1482.72,-253.1783667,-952.0808834,1.41E-11,0
i0163,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.48,1459.72,-253.6574211,-980.7561901,2.92E-11,0
i0164,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.59,1504.8,-262.1197501,-967.9170802,8.48E-12,0
